name,country,operator,users,purpose,orbit_class,orbit_type,perigee_km,apogee_km,eccentricity,inclination_deg,period_min,launch_mass_kg,dry_mass_kg,power_watts,date_of_launch,expected_lifetime_yrs,launch_vehicle,launch_site,cospar_id,launch_year,description,sentiment_compound,sentiment_label,capability_score,capability_label,cluster,cluster_label
SAT-FRA-0001,France,SES,Commercial,Earth Science,LEO,Sun-Synchronous,351,540,0.01386,41.35,93.3,7142.8,3124.8,4730.0,1996-11-24,3.1,Electron,"Kennedy Space Center, USA",1996-001A,1996,"SAT-FRA-0001 is a heavy-class satellite (over 2,000 kg) operated by SES (France), launched in 1996 aboard a Electron from Kennedy Space Center, USA. Its primary mission is to conduct scientific research and space science experiments, operated for commercial telecommunications and data services. The satellite occupies a low Earth orbit (LEO) at approximately 445 km altitude on a Sun-Synchronous trajectory, with an orbital inclination of 41.4° and a period of 93.3 minutes. The orbit is slightly elliptical, providing stable service windows. Designed for medium-duration operations, it carries a 7143 kg launch mass and is expected to remain operational for 3.1 years.",1.0,Positive,6,Operational Tier,3,Military & Surveillance
SAT-FRA-0002,France,O3b Networks,Government,Amateur Radio,Elliptical,Polar,907,33462,0.69103,33.34,599.7,6456.3,3138.6,15294.0,2007-01-25,14.4,Ariane 5,"Baikonur Cosmodrome, Kazakhstan",2007-002A,2007,"SAT-FRA-0002 is a heavy-class satellite (over 2,000 kg) operated by O3b Networks (France), launched in 2007 aboard a Ariane 5 from Baikonur Cosmodrome, Kazakhstan. Its primary mission is to support amateur radio communications globally, operated under direct government mandate. The satellite occupies an elliptical orbit ranging from 907 km to 33,462 km on a Polar trajectory, with an orbital inclination of 33.3° and a period of 599.7 minutes. Its highly elliptical orbit delivers extended coverage over polar and high-latitude areas. Designed for long-duration operations, it carries a 6456 kg launch mass and is expected to remain operational for 14.4 years.",0.293,Positive,7,Operational Tier,5,Technology Demonstrators
SAT-CAN-0003,Canada,ESA,Civil/Commercial,Technology Development,HEO,Medium Earth,299,35881,0.72732,54.1,634.6,7786.3,5072.4,17720.0,2019-09-04,8.5,Atlas V,"Jiuquan Satellite Launch Center, China",2019-003A,2019,"SAT-CAN-0003 is a heavy-class satellite (over 2,000 kg) operated by ESA (Canada), launched in 2019 aboard a Atlas V from Jiuquan Satellite Launch Center, China. Its primary mission is to test and validate next-generation space technologies, supporting commercial enterprises and civil institutions. The satellite occupies a highly elliptical orbit (HEO) ranging from 299 km to 35,881 km altitude on a Medium Earth trajectory, with an orbital inclination of 54.1° and a period of 634.6 minutes. Its highly elliptical orbit delivers extended coverage over polar and high-latitude areas. Designed for long-duration operations, it carries a 7786 kg launch mass and is expected to remain operational for 8.5 years.",1.0,Positive,8,Operational Tier,5,Technology Demonstrators
SAT-RUS-0004,Russia,JAXA,Military,Space Science,MEO,Geostationary,4279,4372,0.00435,15.94,183.5,3654.6,1768.1,5413.0,1996-07-09,16.9,Starship,"Baikonur Cosmodrome, Kazakhstan",1996-004A,1996,"SAT-RUS-0004 is a heavy-class satellite (over 2,000 kg) operated by JAXA (Russia), launched in 1996 aboard a Starship from Baikonur Cosmodrome, Kazakhstan. Its primary mission is to conduct scientific research and space science experiments, serving military and defence agencies. The satellite occupies a medium Earth orbit (MEO) at approximately 4,325 km altitude on a Geostationary trajectory, with an orbital inclination of 15.9° and a period of 183.5 minutes. Its orbit is nearly perfectly circular, ensuring consistent coverage. Designed for ultra-long-duration operations, it carries a 3655 kg launch mass and is expected to remain operational for 16.9 years.",1.0,Positive,9,Strategic Tier,4,Scientific Explorers
SAT-FRA-0005,France,Intelsat,Military/Government,Amateur Radio,Elliptical,Equatorial,1800,15607,0.45796,54.58,307.0,7916.7,4193.6,15389.0,2019-07-09,13.3,Falcon 9,"Satish Dhawan Space Centre, India",2019-005A,2019,"SAT-FRA-0005 is a heavy-class satellite (over 2,000 kg) operated by Intelsat (France), launched in 2019 aboard a Falcon 9 from Satish Dhawan Space Centre, India. Its primary mission is to support amateur radio communications globally, serving military and defence agencies. The satellite occupies an elliptical orbit ranging from 1,800 km to 15,607 km on a Equatorial trajectory, with an orbital inclination of 54.6° and a period of 307.0 minutes. Its highly elliptical orbit delivers extended coverage over polar and high-latitude areas. Designed for long-duration operations, it carries a 7917 kg launch mass and is expected to remain operational for 13.3 years.",-0.8396,Negative,7,Operational Tier,5,Technology Demonstrators
SAT-GER-0006,Germany,Thales Alenia,Civil,Earth Science,LEO,Polar,946,1048,0.00692,63.0,104.9,4018.9,2033.4,5008.0,2010-04-21,17.9,Vega,"Plesetsk Cosmodrome, Russia",2010-006A,2010,"SAT-GER-0006 is a heavy-class satellite (over 2,000 kg) operated by Thales Alenia (Germany), launched in 2010 aboard a Vega from Plesetsk Cosmodrome, Russia. Its primary mission is to conduct scientific research and space science experiments, providing services to civil and governmental organisations. The satellite occupies a low Earth orbit (LEO) at approximately 997 km altitude on a Polar trajectory, with an orbital inclination of 63.0° and a period of 104.9 minutes. Its orbit is nearly perfectly circular, ensuring consistent coverage. Designed for ultra-long-duration operations, it carries a 4019 kg launch mass and is expected to remain operational for 17.9 years.",1.0,Positive,8,Operational Tier,4,Scientific Explorers
SAT-SPA-0007,SpaceX (USA),CNSA,Civil/Commercial,Surveillance,GEO,Polar,35891,36190,0.00352,84.39,1448.7,3973.5,2586.6,15862.0,2004-03-17,15.5,Delta IV,"Jiuquan Satellite Launch Center, China",2004-007A,2004,"SAT-SPA-0007 is a heavy-class satellite (over 2,000 kg) operated by CNSA (SpaceX (USA)), launched in 2004 aboard a Delta IV from Jiuquan Satellite Launch Center, China. Its primary mission is to perform reconnaissance and surveillance operations, supporting commercial enterprises and civil institutions. The satellite occupies a geostationary orbit (GEO) at ~35,786 km, maintaining a fixed position over Earth on a Polar trajectory, with an orbital inclination of 84.4° and a period of 1448.7 minutes. Its orbit is nearly perfectly circular, ensuring consistent coverage. Designed for ultra-long-duration operations, it carries a 3974 kg launch mass and is expected to remain operational for 15.5 years.",-0.9259,Negative,10,Strategic Tier,4,Scientific Explorers
SAT-LUX-0008,Luxembourg,Roscosmos,Government,Military Surveillance,LEO,Medium Earth,1088,1185,0.00646,73.59,107.9,960.7,630.6,2320.0,1990-11-24,17.9,Delta IV,"Xichang Satellite Launch Center, China",1990-008A,1990,"SAT-LUX-0008 is a medium-class satellite (500–2,000 kg) operated by Roscosmos (Luxembourg), launched in 1990 aboard a Delta IV from Xichang Satellite Launch Center, China. Its primary mission is to perform reconnaissance and surveillance operations, operated under direct government mandate. The satellite occupies a low Earth orbit (LEO) at approximately 1,136 km altitude on a Medium Earth trajectory, with an orbital inclination of 73.6° and a period of 107.9 minutes. Its orbit is nearly perfectly circular, ensuring consistent coverage. Designed for ultra-long-duration operations, it carries a 961 kg launch mass and is expected to remain operational for 17.9 years.",-0.8396,Negative,6,Operational Tier,4,Scientific Explorers
SAT-IND-0009,India,Boeing,Civil/Commercial,Earth Science,HEO,Geostationary,203,41830,0.75996,19.49,751.8,6741.3,4752.6,10834.0,1996-11-10,10.9,New Shepard,"Plesetsk Cosmodrome, Russia",1996-009A,1996,"SAT-IND-0009 is a heavy-class satellite (over 2,000 kg) operated by Boeing (India), launched in 1996 aboard a New Shepard from Plesetsk Cosmodrome, Russia. Its primary mission is to conduct scientific research and space science experiments, supporting commercial enterprises and civil institutions. The satellite occupies a highly elliptical orbit (HEO) ranging from 203 km to 41,830 km altitude on a Geostationary trajectory, with an orbital inclination of 19.5° and a period of 751.8 minutes. Its highly elliptical orbit delivers extended coverage over polar and high-latitude areas. Designed for long-duration operations, it carries a 6741 kg launch mass and is expected to remain operational for 10.9 years.",1.0,Positive,9,Strategic Tier,5,Technology Demonstrators
SAT-ITA-0010,Italy,CNES,Civil,Communications,LEO,Molniya,963,1088,0.00845,8.39,105.5,7030.2,5106.8,19562.0,2005-01-08,19.0,Vega,"Xichang Satellite Launch Center, China",2005-010A,2005,"SAT-ITA-0010 is a heavy-class satellite (over 2,000 kg) operated by CNES (Italy), launched in 2005 aboard a Vega from Xichang Satellite Launch Center, China. Its primary mission is to provide broadband and voice communications services, providing services to civil and governmental organisations. The satellite occupies a low Earth orbit (LEO) at approximately 1,025 km altitude on a Molniya trajectory, with an orbital inclination of 8.4° and a period of 105.5 minutes. Its orbit is nearly perfectly circular, ensuring consistent coverage. Designed for ultra-long-duration operations, it carries a 7030 kg launch mass and is expected to remain operational for 19.0 years. Its communications payload supports relay of navigation correction signals and timing data for ground-based augmentation systems.",1.0,Positive,8,Operational Tier,1,GEO Comms Backbone
